Name,Value
Adams Gulch,.01000000000
BWR Upper,21.856000000
Chocolate Gulch,.01000000000
Clear Creek,.01105186100
Cold Springs Gulch,.69240260000
Cove Canyon,2.5220720000
Croy Creek,1.2191170000
Deer Creek,1.8821450000
Eagle Creek,3.3986200000
East Fork,1.2978690000
Elkhorn Gulch,.01000000000
Greenhorn Gulch,.01000000000
Indian Creek,.32760340000
Lake Creek,1.4359020000
Lees Gulch,2.9899550000
Ohio Gulch,.01007757400
Oregon Gulch,3.7153070000
Quigley Creek,.20835760000
Seamans Gulch,1.4563360000
Slaughterhouse Gulch,.01001699400
Townshead Gulch,.02308565700
Trail Creek,4.1308330000
Warm Springs Creek,3.7462870000
reduction,10.00000000
d.in.mv.ave,248.58920000
